timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,Connect
1774965799162,301,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,2,2,301,1
1774965798754,391,Login,200,Cenario 1 - Carga Basica 1-1,true,719,235,1,1,388,26
1774965799870,102,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708073,293,3,3,99,0
1774965799870,170,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,293,3,3,168,0
1774965799662,377,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,3,3,377,0
1774965800041,77,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,3,3,74,0
1774965799973,366,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,4,4,366,0
1774965800041,310,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,4,4,310,0
1774965800340,46,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,4,4,44,0
1774965800119,298,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,4,4,298,0
1774965800352,67,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,4,4,64,0
1774965800419,54,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,4,4,52,0
1774965800160,457,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,4,4,457,1
1774965800387,302,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,5,5,302,0
1774965800618,125,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,5,5,122,0
1774965800420,322,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,5,5,322,0
1774965800690,112,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,5,5,110,0
1774965800474,410,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,5,5,410,0
1774965800743,177,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,5,5,175,0
1774965800661,353,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,5,5,353,0
1774965800885,165,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,5,5,163,0
1774965800743,321,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,5,5,321,0
1774965801015,78,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,5,5,76,0
1774965800803,379,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,6,6,379,0
1774965801065,146,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,6,6,145,0
1774965800920,394,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,6,6,394,0
1774965801051,304,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,6,6,304,0
1774965801185,221,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,6,6,219,0
1774965801094,381,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,6,6,381,0
1774965801316,187,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,6,6,185,0
1774965801356,173,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,6,6,171,0
1774965801160,419,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,6,6,419,1
1774965801476,153,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,6,6,151,0
1774965801212,456,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,7,7,455,0
1774965801406,381,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,7,7,381,0
1774965801581,257,GET Articles,200,Cenario 1 - Carga Basica 1-6,true,708072,293,7,7,255,0
1774965801503,381,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,7,7,381,0
1774965801530,396,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,7,7,396,0
1774965801669,286,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,7,7,284,0
1774965801788,193,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,7,7,191,0
1774965801630,470,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,7,7,470,0
1774965801661,509,Login,200,Cenario 1 - Carga Basica 1-7,true,718,235,8,8,509,0
1774965801885,286,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,8,8,284,0
1774965801928,296,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,8,8,294,0
1774965801838,398,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,8,8,398,0
1774965802101,186,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,8,8,184,0
1774965801956,477,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,8,8,477,0
1774965802171,312,GET Articles,200,Cenario 1 - Carga Basica 1-7,true,708072,293,8,8,310,0
1774965801982,501,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,8,8,501,0
1774965802160,386,Login,200,Cenario 1 - Carga Basica 1-8,true,718,235,8,8,386,1
1774965802237,344,GET Articles,200,Cenario 1 - Carga Basica 1-6,true,708072,293,8,8,342,0
1774965802224,518,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,9,9,518,0
1774965802172,598,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,9,9,598,0
1774965802434,337,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,9,9,335,0
1774965802484,341,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,9,9,339,0
1774965802287,572,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,9,9,572,0
1774965802547,313,GET Articles,200,Cenario 1 - Carga Basica 1-8,true,708072,293,9,9,311,0
1774965802484,544,Login,200,Cenario 1 - Carga Basica 1-7,true,718,235,9,9,544,0
1774965802743,336,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,9,9,334,0
1774965802771,357,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,9,9,355,0
1774965802661,468,Login,200,Cenario 1 - Carga Basica 1-9,true,718,235,9,9,468,0
1774965802582,548,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,9,9,548,0
1774965802860,330,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,10,10,328,0
1774965802771,628,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,10,10,628,0
1774965802826,578,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,10,10,578,0
1774965803029,402,GET Articles,200,Cenario 1 - Carga Basica 1-7,true,708072,293,10,10,400,0
1774965802861,591,Login,200,Cenario 1 - Carga Basica 1-8,true,718,235,10,10,591,0
1774965803130,374,GET Articles,200,Cenario 1 - Carga Basica 1-9,true,708072,293,10,10,371,0
1774965803131,424,GET Articles,200,Cenario 1 - Carga Basica 1-6,true,708072,293,10,10,422,0
1774965803079,622,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,10,10,621,0
1774965803128,575,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,10,10,575,0
1774965803400,336,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,10,10,334,0
1774965803405,360,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,10,10,358,0
1774965803162,662,Login,200,Cenario 1 - Carga Basica 1-10,true,718,235,10,10,662,1
1774965803453,462,GET Articles,200,Cenario 1 - Carga Basica 1-8,true,708072,293,10,10,460,0
1774965803190,787,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,10,10,787,0
1774965803432,602,Login,200,Cenario 1 - Carga Basica 1-7,true,718,235,10,10,602,0
1774965803702,386,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,10,10,384,0
1774965803704,436,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,10,10,434,0
1774965803504,684,Login,200,Cenario 1 - Carga Basica 1-9,true,718,235,10,10,684,0
1774965803555,697,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,10,10,697,0
1774965803825,465,GET Articles,200,Cenario 1 - Carga Basica 1-10,true,708072,293,10,10,463,0
1774965803737,674,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,10,10,674,0
1774965803978,468,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,10,10,467,0
1774965803765,713,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,10,10,713,0
1774965804036,443,GET Articles,200,Cenario 1 - Carga Basica 1-7,true,708072,293,10,10,441,0
1774965803916,639,Login,200,Cenario 1 - Carga Basica 1-8,true,718,235,10,10,639,0
1774965804189,419,GET Articles,200,Cenario 1 - Carga Basica 1-9,true,708072,293,10,10,417,0
1774965804253,406,GET Articles,200,Cenario 1 - Carga Basica 1-6,true,708072,293,10,10,404,0
1774965804140,603,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,10,10,603,0
1774965804089,655,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,10,10,655,0
1774965804412,366,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,10,10,364,0
1774965804479,325,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,10,10,323,0
1774965804291,629,Login,200,Cenario 1 - Carga Basica 1-10,true,718,235,10,10,629,0
1774965804556,417,GET Articles,200,Cenario 1 - Carga Basica 1-8,true,708072,293,10,10,415,0
1774965804447,564,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,10,10,564,0
1774965804479,585,Login,200,Cenario 1 - Carga Basica 1-7,true,718,235,10,10,585,0
1774965804744,349,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,10,10,347,0
1774965804745,375,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,10,10,373,0
1774965804609,623,Login,200,Cenario 1 - Carga Basica 1-9,true,718,235,10,10,623,0
1774965804659,614,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,10,10,614,0
1774965804921,385,GET Articles,200,Cenario 1 - Carga Basica 1-10,true,708072,293,10,10,383,0
1774965804778,597,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,10,10,597,0
1774965805012,414,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,10,10,413,0
1774965805065,412,GET Articles,200,Cenario 1 - Carga Basica 1-7,true,708072,293,10,10,410,0
1774965804804,688,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,10,10,688,0
1774965804973,591,Login,200,Cenario 1 - Carga Basica 1-8,true,718,235,10,10,591,0
1774965805233,387,GET Articles,200,Cenario 1 - Carga Basica 1-9,true,708072,293,10,10,386,0
1774965805274,375,GET Articles,200,Cenario 1 - Carga Basica 1-6,true,708072,293,10,10,372,0
1774965805093,645,Login,200,Cenario 1 - Carga Basica 1-2,true,718,235,10,10,645,0
1774965805121,660,Login,200,Cenario 1 - Carga Basica 1-3,true,718,235,10,10,660,0
1774965805376,406,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708072,293,10,10,404,0
1774965805306,601,Login,200,Cenario 1 - Carga Basica 1-10,true,718,235,10,10,601,0
1774965805493,465,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708072,293,10,10,463,0
1774965805565,446,GET Articles,200,Cenario 1 - Carga Basica 1-8,true,708072,293,10,10,443,0
1774965805477,566,Login,200,Cenario 1 - Carga Basica 1-7,true,718,235,10,10,566,0
1774965805427,620,Login,200,Cenario 1 - Carga Basica 1-5,true,718,235,10,10,620,0
1774965805739,337,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708072,293,10,10,335,0
1774965805782,322,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708072,293,10,10,320,0
1774965805621,660,Login,200,Cenario 1 - Carga Basica 1-9,true,718,235,10,10,660,0
1774965805649,685,Login,200,Cenario 1 - Carga Basica 1-6,true,718,235,10,10,684,0
1774965805908,427,GET Articles,200,Cenario 1 - Carga Basica 1-10,true,708072,293,10,10,425,0
1774965805782,592,Login,200,Cenario 1 - Carga Basica 1-4,true,718,235,10,10,592,0
1774965806044,370,GET Articles,200,Cenario 1 - Carga Basica 1-7,true,708072,293,10,10,368,0
1774965806048,414,GET Articles,200,Cenario 1 - Carga Basica 1-5,true,708072,293,10,10,412,0
1774965806011,592,Login,200,Cenario 1 - Carga Basica 1-8,true,718,235,10,10,592,0
1774965805958,646,Login,200,Cenario 1 - Carga Basica 1-1,true,718,235,10,10,646,0
1774965806282,379,GET Articles,200,Cenario 1 - Carga Basica 1-9,true,708072,293,10,10,377,0
