timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,Connect
1774965604594,71,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,66,15
1774965604668,42,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,40,0
1774965604711,46,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,44,0
1774965604757,34,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,33,0
1774965604792,30,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,28,0
1774965604822,30,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,29,0
1774965604853,30,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,28,0
1774965604883,32,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,30,0
1774965604915,30,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,28,0
1774965604945,29,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,27,0
1774965604974,29,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,1,1,28,0
1774965605004,32,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,2,2,30,0
1774965605011,56,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,54,1
1774965605037,56,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,2,2,55,0
1774965605068,68,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,65,0
1774965605094,75,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708075,157,2,2,74,0
1774965605136,58,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708075,157,2,2,56,0
1774965605170,77,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,2,2,76,0
1774965605195,86,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,84,0
1774965605248,58,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,2,2,56,0
1774965605281,65,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,63,0
1774965605306,70,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708075,157,2,2,69,0
1774965605346,67,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,65,0
1774965605377,67,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708075,157,2,2,65,0
1774965605414,57,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,2,2,55,0
1774965605444,62,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,2,2,61,0
1774965605471,76,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,3,3,74,0
1774965605507,74,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,3,3,73,0
1774965605510,101,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708075,157,3,3,98,1
1774965605547,93,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708075,157,3,3,91,0
1774965605582,89,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,3,3,88,0
1774965605612,87,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708075,157,3,3,85,0
1774965605640,93,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,3,3,91,0
1774965605672,107,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,3,3,105,0
1774965605700,112,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708075,157,3,3,110,0
1774965605733,116,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,3,3,114,0
1774965605780,96,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708074,157,3,3,94,0
1774965605812,95,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708075,157,3,3,93,0
1774965605849,100,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,3,3,98,0
1774965605876,106,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708075,157,3,3,104,0
1774965605908,124,GET Articles,200,Cenario 1 - Carga Basica 1-3,true,708075,157,4,4,122,0
1774965605950,115,GET Articles,200,Cenario 1 - Carga Basica 1-2,true,708074,157,4,4,113,0
1774965605983,109,GET Articles,200,Cenario 1 - Carga Basica 1-1,true,708075,157,4,4,107,0
1774965606009,120,GET Articles,200,Cenario 1 - Carga Basica 1-4,true,708075,157,4,4,118,1
